Accel. Pedal Pos. (%),Boost Pressure (psi),Actual AFR (AFR),Airflow Mass (lb/min),Charge Air Temp. (F),Coolant Temp. (F),ETC Angle Actual (degrees),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Gear Current (Gear),Ign Corr. Cyl1 (degrees),Ign Timing Cyl1 (degrees),LTFT (%),Lambda (Raw) (AFR),Load Actual (%),Load Des. TQ Ctl (%),Oct Adj Ratio Lrn (Mult),STFT (%),VCT-E Angle Act. (degrees),VCT-I Angle Act. (degrees),WGDC Actual (%),AP Info:[AP3-FOR-001 v1.7.3.0-17779][USDM 2016 Focus ST (50S)][Reflash: Stage3 93 OCT or 98 RON v504.ptm]
0,-10.6,15.43,1.81,106.7,190.6,5.63,4402,-2,-2.4,4,0,41.01,2.34,15.43,0.151,0.159,-1,2.34,-0.6,-0.6,0,0
0,-10.65,15.29,1.81,106.7,190.6,6.22,4382,-1.5,-1.8,4,0,31.51,2.34,15.29,0.151,0.16,-1,2.34,-0.8,-0.6,0,0
0,-10.56,15.43,1.81,106.7,190.6,6.7,4374,-1.2,-1.5,4,0,27.92,2.34,15.29,0.152,0.16,-1,3.12,-0.6,-0.6,0,0
0,-10.49,15.43,1.88,106.7,190.6,7.02,4397,-1.2,-1.4,4,0,25.08,2.34,15.43,0.152,0.16,-1,3.91,-0.8,-0.6,0,0
0,-10.48,15.43,1.88,106.7,190.6,7.15,4409,-1.1,-1.3,4,0,23.83,3.12,15.43,0.159,0.16,-1,4.69,-0.6,-0.6,0,0
0,-10.44,15.29,1.9,106.7,190.6,7.37,4401,-1.1,-1.4,4,0,22.64,3.12,15.29,0.159,0.16,-1,4.69,-0.7,-0.6,0,0
0,-10.45,15.14,1.9,106.7,190.6,7.42,4397,-1.2,-1.5,4,0,21.74,3.12,15.14,0.16,0.16,-1,4.69,-0.8,-0.6,0,0
0,-10.45,14.99,1.88,106.7,190.8,7.45,4378,-1.2,-1.5,4,0,20.83,3.12,14.99,0.158,0.159,-1,5.47,-0.6,-0.6,0,0
0,-10.46,14.85,1.88,106.7,190.8,7.53,4367,-1.2,-1.5,4,0,20.49,3.12,14.85,0.158,0.16,-1,5.47,-0.7,-0.6,0,0
0,-10.47,14.85,1.85,106.7,190.8,7.53,4354,-1.1,-1.4,4,0,19.79,3.12,14.85,0.156,0.159,-1,5.47,-0.6,-0.7,0,0
0,-10.43,14.7,1.85,106.7,190.8,7.65,4359,-1.1,-1.4,4,0,18.83,3.12,14.7,0.156,0.16,-1,5.47,-0.7,-0.6,0,0
0,-10.41,14.7,1.87,106.7,190.8,7.85,4355,-0.9,-1.1,4,0,18.12,3.12,14.7,0.159,0.159,-1,5.47,-0.6,-0.5,0,0
0,-10.37,14.7,1.89,106.7,190.8,7.91,4348,-0.9,-1.1,4,0,16.76,3.12,14.7,0.159,0.159,-1,5.47,-0.6,-0.7,0,0
0,-10.39,14.55,1.89,106.5,190.8,7.81,4332,-1,-1.2,4,0,16.18,3.12,14.7,0.16,0.159,-1,5.47,-0.7,-0.5,0,0
0,-10.38,14.7,1.87,106.5,190.8,7.81,4319,-0.9,-1.1,4,0,15.64,3.12,14.55,0.16,0.158,-1,0,-0.6,-0.6,0,0
0,-10.38,14.7,1.87,106.5,190.8,7.77,4293,-0.9,-1,4,0,15.32,3.12,14.7,0.16,0.158,-1,0,-0.7,-0.6,0,0
0,-10.39,14.85,1.83,106.5,190.8,7.73,4294,-1,-1.2,4,0,15.34,3.12,14.85,0.16,0.159,-1,0,-0.6,-0.5,0,0
0,-10.42,14.99,1.83,106.5,190.8,7.73,4281,-0.9,-1.1,4,0,15.55,2.34,14.99,0.157,0.155,-1,0,-0.6,-0.6,0,0
0,-10.4,15.14,1.83,106.5,190.8,7.67,4264,-0.5,-0.7,4,0,15.36,2.34,15.14,0.158,0.155,-1,0,-0.6,-0.6,0,0
0,-10.44,15.29,1.83,106.5,190.8,7.61,4244,-0.6,-0.7,4,0,14.84,2.34,15.29,0.158,0.155,-1,0,-0.6,-0.8,0,0
0,-10.44,15.29,1.79,106.5,190.9,7.59,4235,-0.6,-0.7,4,0,14.78,2.34,15.29,0.155,0.154,-1,0,-0.7,-0.4,0,0
0,-10.42,15.29,1.78,106.5,190.9,7.59,4220,-0.5,-0.6,4,0,14.68,2.34,15.29,0.155,0.154,-1,0,-0.6,-0.5,0,0
0,-10.43,15.58,1.78,106.5,190.9,7.56,4201,-0.4,-0.5,4,0,14.63,2.34,15.73,0.156,0.153,-1,0,-0.6,-0.5,0,0
0,-10.42,16.32,1.76,106.5,190.9,7.53,4185,-0.4,-0.4,4,0,14.7,2.34,16.32,0.156,0.153,-1,0,-0.5,-0.6,0,0
0,-10.45,17.2,1.76,106.5,190.9,7.41,4172,-0.5,-0.6,4,0,14.66,2.34,17.05,0.155,0.153,-1,0,-0.6,-0.5,0,0
0,-10.43,17.64,1.74,106.5,190.9,7.41,4139,-0.4,-0.5,4,0,14.52,2.34,17.49,0.155,0.153,-1,0,-0.6,-0.4,0,0
0,-10.44,18.82,1.74,106.5,190.9,7.38,4140,-0.2,-0.3,4,0,14.62,2.34,18.08,0.154,0.153,-1,0,-0.6,-0.5,0,0
0,-10.41,19.4,1.71,106.5,191.1,7.37,4110,-0.3,-0.4,4,0,14.24,2.34,19.55,0.153,0.152,-1,0,-0.6,-0.4,0,0
0,-10.41,19.99,1.71,106.5,191.1,7.32,4080,-0.4,-0.4,4,0,14.08,2.34,20.29,0.153,0.152,-1,0,-0.5,-0.5,0,0
0,-10.42,20.73,1.69,106.3,191.1,7.2,4052,-0.2,-0.3,4,0,14.21,2.34,20.87,0.152,0.152,-1,0,-0.6,-0.4,0,0
0,-10.42,22.05,1.69,106.3,191.1,7.15,4037,-0.1,-0.2,4,0,14.15,2.34,22.2,0.152,0.152,-1,0,-0.5,-0.5,0,0
0,-10.42,23.37,1.67,106.5,191.1,7.14,4012,-0.1,-0.1,4,0,14.01,2.34,23.23,0.152,0.151,-1,0,-0.6,-0.4,0,0
0,-10.43,24.99,1.66,106.5,191.1,7.13,3994,0.1,0.1,4,0,13.93,2.34,24.7,0.152,0.151,-1,0,-0.4,-0.5,0,0
0,-10.38,26.46,1.66,106.3,191.1,7.1,3972,0.3,0.4,4,0,13.59,2.34,27.64,0.152,0.15,-1,0,-0.6,-0.4,0,0
0,-10.37,29.55,1.66,106.3,191.1,7.08,3940,0.4,0.5,4,0,13.38,2.34,30.87,0.152,0.149,-1,0,-0.5,-0.4,0,0
0,-10.37,30.87,1.66,106.3,191.1,6.93,3922,0.5,0.7,4,0,13.08,2.34,31.75,0.154,0.15,-1,0,-0.6,-0.5,0,0
0,-10.38,32.63,1.61,106.3,191.3,6.89,3932,0.4,0.6,4,0,13.24,2.34,33.52,0.154,0.15,-1,0,-0.4,-0.5,0,0
0,-10.39,34.25,1.61,106.3,191.3,6.89,3914,0.5,0.7,4,0,13.24,2.34,34.54,0.152,0.149,-1,0,-0.6,-0.4,0,0
0,-10.37,35.87,1.65,106.3,191.3,6.86,3908,0.6,0.8,4,0,13.04,2.34,35.72,0.156,0.15,-1,0,-0.5,-0.3,0,0
0,-10.37,36.75,1.65,106.3,191.3,6.81,3903,0.7,0.9,4,0,12.9,2.34,36.9,0.156,0.149,-1,0,-0.6,-0.5,0,0
0,-10.38,37.93,1.63,106.3,191.3,6.81,3901,0.7,0.9,4,0,12.89,2.34,38.07,0.154,0.143,-1,0,-0.6,-0.4,0,0
0,-10.41,38.37,1.56,106.3,191.3,6.53,3892,0.3,0.4,4,0,13.26,2.34,38.51,0.154,0.139,-1,0,-0.6,-0.4,0,0
0,-10.51,38.37,1.56,106.3,191.3,6.2,3896,-0.1,-0.1,4,0,13.26,2.34,38.51,0.149,0.132,-1,0,-0.6,-0.4,0,0
0,-10.59,39.84,1.48,106.3,191.3,6.02,3883,-0.6,-0.8,4,0,13.95,2.34,39.25,0.149,0.128,-1,0,-0.6,-0.6,0,0
0,-10.7,41.16,1.48,106.3,191.3,5.8,3877,-1.4,-1.8,4,0,14.21,2.34,40.42,0.141,0.122,-1,0,-0.6,-0.4,0,0
0,-10.81,41.6,1.37,106.3,191.3,5.47,3869,-1.8,-2.4,4,0,14.87,2.34,41.6,0.141,0.115,-1,0,-0.6,-0.5,0,0
0,-10.94,41.75,1.37,106.3,191.3,5.18,3858,-2.9,-3.9,4,0,15.24,2.34,42.04,0.131,0.11,-1,0,-0.6,-0.4,0,0
0,-11.08,42.04,1.26,106.3,191.3,4.88,3853,-3.1,-4.2,4,0,15.79,2.34,42.19,0.121,0.11,-1,0,-0.6,-0.6,0,0
2,-11.16,42.78,1.26,106.3,191.3,4.83,3858,-3.4,-4.6,4,0,18.64,2.34,42.48,0.121,0.124,-1,0,-0.6,-0.4,0,0
6,-11.19,42.19,1.23,106.3,191.3,4.83,3860,-4.1,-5.6,4,0,20.64,2.34,42.63,0.118,0.194,-1,0,-0.5,-0.6,0,0
10,-11.16,39.69,1.23,106.3,191.3,7.01,3840,1.3,1.8,4,0,22.55,2.34,41.16,0.118,0.282,-1,0,-0.4,-0.3,71,0
12,-10.14,36.75,1.92,106.3,191.3,9.94,3877,5.1,6.9,4,0,21.06,3.12,36.01,0.184,0.422,-1,0,-0.5,-0.5,72.96,0
17,-8.42,29.25,4.09,106.3,191.3,13.57,3935,22.6,30.2,4,0,11.68,3.12,27.78,0.184,0.596,-1,0,-0.6,-0.4,72.16,0
22,-5.78,22.2,4.09,106.3,191.5,18.37,3881,42.7,57.8,4,0,29.13,5.47,22.2,0.393,0.678,-1,0,0,-0.6,75.65,0
28,-2.65,17.93,7.06,106.3,191.5,25.33,3845,63.6,86.9,4,0,28.13,5.47,18.08,0.393,0.834,-1,0,6.6,-0.5,83.26,0
32,-0.53,15.58,7.06,106.3,191.5,40.33,3871,75.2,102,4,0,26.62,4.69,16.17,0.665,0.993,-1,0,10.4,-0.5,91.71,0
40,1,14.85,6.95,106.3,191.5,75.27,3862,82.9,112.8,4,0,25.96,4.69,14.85,0.665,1.178,-1,0,9.2,-0.6,86.85,0
46,1.97,14.99,6.95,106.3,191.5,81.28,3880,90.5,122.6,4,0,25.4,4.69,14.99,0.669,1.312,-1,-0.78,7.2,-2.7,84.15,0
52,3.37,15.73,8.96,106.3,191.5,82.13,3898,100.8,135.8,4,0,24.7,3.91,15.73,0.858,1.398,-1,0,5.7,-7,82.15,0
57,5.13,15.58,8.96,106.3,191.5,82.13,3900,108.3,145.8,4,0,21.07,3.91,15.58,0.858,1.448,-1,2.34,-0.1,-10.3,63.81,0
60,7.28,14.99,11.81,106.3,191.5,82.08,3928,117.3,156.9,4,0,18.82,3.91,15.14,1.123,1.578,-1,2.34,-0.6,-14.2,60.75,0
63,8.89,14.7,14.53,106.3,191.5,82.07,3928,129.2,172.7,4,0,12.93,3.91,14.7,1.123,1.679,-1,2.34,-0.4,-19,56.99,0
67,11.17,14.7,14.53,106.3,191.5,82.07,3937,139.7,186.4,4,0,10.85,3.91,14.7,1.375,1.804,-1,2.34,-0.7,-23.7,53.56,0
70,12.68,14.41,17.37,106.3,191.5,82.07,3962,144.5,191.5,4,0,8.35,3.91,14.41,1.375,1.936,-1,2.34,-0.5,-26.9,52.04,0
72,14.55,14.11,17.37,106.3,191.5,82.07,3967,147.3,195,4,0,7.53,3.91,14.11,1.639,2.034,-1,1.56,-0.7,-29.9,54.9,0
72,15.89,13.82,19.09,106.3,191.5,82.07,3988,148.2,195.2,4,0,6.57,3.91,13.82,1.639,2.117,-1,2.34,-0.6,-30.7,61.51,0
73,16.81,13.52,19.09,106.3,191.5,82.06,4001,147.5,193.7,4,0,6.1,3.91,13.52,1.784,2.247,-1,1.56,-0.6,-30.8,64.36,0
74,17.44,13.23,20.27,106.5,191.5,82.06,4012,149,195.1,4,0,6.33,3.91,13.23,1.882,2.338,-1,1.56,-0.6,-30.9,64.58,0
76,18.19,12.94,20.27,106.5,191.5,82.06,4039,151.5,196.9,4,0.2,6.55,3.91,13.08,1.882,2.499,-1,2.34,-0.6,-31.2,64.18,0
78,18.65,12.94,21.2,106.5,191.5,82.06,4059,153.9,199.1,4,0.4,6.79,3.91,12.79,1.961,2.628,-1,1.56,-0.4,-31.1,65.84,0
81,19.06,12.79,21.2,106.5,191.5,82.06,4078,155.7,200.5,4,0.6,6.81,3.91,12.79,1.961,2.721,-1,1.56,-0.5,-31.2,66.15,0
82,19.3,12.64,21.8,106.7,191.5,82.05,4080,157.2,202.4,4,0.8,7.04,3.91,12.64,1.993,2.83,-1,1.56,-0.6,-31.1,66.7,0
86,19.54,12.49,22.14,106.7,191.5,82.05,4111,160,204.5,4,1,7.28,3.91,12.35,1.993,2.988,-1,2.34,-0.5,-31.2,66.73,0
88,19.7,12.35,22.14,106.7,191.5,82.04,4115,161.7,206.4,4,1,7.5,3.91,12.35,2.013,3,-1,1.56,-0.6,-31,67.08,0
90,19.83,12.35,22.46,106.7,191.5,82.03,4146,163.6,207.3,4,1.2,7.53,3.91,12.35,2.013,3,-1,1.56,-0.5,-30.9,68.14,0
92,19.82,12.35,22.46,106.7,191.3,82.03,4165,164.7,207.7,4,1.4,7.76,3.91,12.35,2.025,3,-1,2.34,-0.6,-30.7,68.36,0
94,19.88,12.35,22.73,106.7,191.3,82.03,4178,166,208.7,4,1.4,7.98,3.91,12.2,2.025,3,-1,2.34,-0.2,-31.4,68.78,0
96,19.91,12.35,22.73,106.7,191.3,82.03,4203,167,208.7,4,1.6,8.02,3.91,12.2,2.029,3,-1,2.34,4.6,-32.9,69.92,0
97,19.9,12.2,22.75,106.7,191.3,82.03,4211,166.3,207.4,4,1.8,8.23,3.91,12.2,2.02,2.998,-1,2.34,11.3,-33.5,71.65,0
98,19.9,12.2,22.75,106.7,191.3,82.02,4226,166.4,206.7,4,1.8,8.46,3.91,12.2,2.02,2.998,-1,2.34,14.3,-33.2,70.84,0
98,19.92,12.2,22.68,106.7,191.3,82.02,4243,168.5,208.5,4,2,8.5,3.91,12.2,1.996,2.999,-1,2.34,15.2,-32.9,70.92,0
98,19.99,12.2,22.9,106.7,191.3,82.02,4261,169.5,208.9,4,2.2,8.7,3.91,12.2,1.996,2.997,-1,3.12,15.1,-33,71.71,0
98,20.01,12.2,22.9,106.7,191.3,82.02,4289,171,209.4,4,2.2,8.75,3.91,12.2,1.999,2.998,-1,3.12,14.8,-32.6,71.68,0
96,20.03,12.2,23.04,106.7,191.3,82.02,4297,171.7,209.8,4,2.4,8.98,3.91,12.2,1.999,2.998,-1,3.12,14.3,-32.6,72.51,0
94,20.07,12.2,23.04,106.7,191.3,82.02,4315,172.7,210.2,4,2.6,9.2,3.91,12.2,1.999,2.961,-1,3.12,13.9,-32.2,72.93,0
90,20.08,12.2,23.13,106.7,191.3,82.02,4339,173.7,210.2,4,2.6,9.21,3.91,12.2,1.999,2.581,-1,3.91,13.8,-32.2,73.04,0
80,20.08,12.2,23.13,106.7,191.3,82.02,4344,174,210.4,4,2.8,9.42,3.91,12.2,1.994,2.275,-1,3.91,12.9,-31.6,73.78,0
76,20.1,12.2,23.34,106.7,191.3,82.02,4370,174.4,209.6,4,2.8,9.46,3.91,12.2,1.993,2.267,-1,3.12,11.4,-30.7,75.21,0
76,20.05,12.05,23.34,106.7,191.3,82.07,4379,173.2,207.8,4,3,9.69,3.91,12.2,1.993,2.266,-1,3.12,9.9,-29.4,76.35,0
76,19.99,12.2,23.13,106.7,191.3,82.07,4404,173.7,207.2,4,3,9.73,3.91,12.2,1.965,2.29,-1,3.12,8,-28.4,76.04,0
77,19.95,12.2,23.13,106.7,191.3,82.07,4415,173.2,206,4,3.2,9.93,3.91,12.35,1.965,2.299,-1,3.12,3.1,-27.9,75.74,0
77,19.86,12.35,23.21,106.7,191.3,82.07,4450,176.1,207.8,4,3.2,10.01,3.91,12.35,1.959,2.279,-1,3.91,-0.6,-27.6,75.49,0
75,19.84,12.2,23.53,106.7,191.3,82.07,4456,174.6,205.9,4,3.4,10.22,3.91,12.2,1.959,1.951,-1,3.12,-0.6,-27.1,74.16,0
67,19.78,12.2,23.53,106.7,191.3,82.07,4472,174.9,205.4,4,3.4,10.23,3.91,12.2,1.967,1.619,-1,3.12,-0.6,-27,69.65,0
53,19.68,12.2,23.06,106.7,191.3,65.72,4480,167,195.8,4,3.6,10.46,3.91,12.2,1.967,1.443,-1,3.12,-0.7,-26.6,64.12,0
46,17.38,12.2,23.06,106.7,191.3,29.81,4493,159.2,186.2,4,3.6,10.46,3.91,12.2,1.912,1.407,-1,3.12,-0.6,-26.6,49.67,0
44,14.77,12.05,19.51,106.7,191.3,24.19,4503,149.9,174.8,4,3.64,11.68,3.91,12.05,1.912,1.396,-1,2.34,-0.7,-26.3,40.94,0
46,12.43,11.76,19.51,106.7,191.3,22.35,4506,146.2,170.5,4,3.63,13.28,3.91,11.76,1.613,1.498,-1,0,-0.7,-26.1,49.87,0
55,10.83,11.91,17.61,106.7,191.3,22.13,4529,146.3,169.7,4,3.63,14.16,3.91,11.91,1.451,1.757,-1,-0.78,-0.7,-26,60.86,0
65,10.34,12.05,17.61,106.7,191.3,23.26,4549,159.8,184.5,4,3,10.06,3.91,12.05,1.451,2.037,-1,-3.12,-0.7,-26,62.7,0
74,14.33,12.79,20.89,107.1,191.1,37.73,4554,165.7,191.2,4,0,7.75,3.91,12.94,1.71,2.54,-1,-2.34,-0.6,-25.8,80.37,0
82,15.42,13.23,21.72,107.1,191.1,74.89,4570,161.9,186,4,0.2,7.94,3.91,13.23,1.71,3,-1,0,-0.7,-25.7,77.26,0
93,16.32,13.23,21.72,107.1,191.1,81.71,4579,161.5,185.3,4,0,7,3.91,13.23,1.769,3,-1,0,-0.6,-25.4,75.71,0
100,17.03,13.08,22.76,107.1,191.1,82.22,4611,161.5,184,4,0,7.04,3.91,13.23,1.769,3,-1,0.78,-0.4,-25.6,77.36,0
100,17.58,13.08,22.76,106.7,191.1,82.1,4602,160.4,183.1,4,0.2,7.24,3.91,13.08,1.843,3,-1,0.78,1.9,-28.1,78.04,0
100,17.97,12.79,23.38,106.7,191.1,82.09,4634,160,181.4,4,0.2,7.46,3.91,12.79,1.843,2.998,-1,0,6.6,-29.5,78.65,0
100,18.28,12.49,23.38,106.7,191.1,82.07,4648,160.8,181.7,4,0.4,7.48,3.91,12.49,1.879,2.998,-1,0,8.8,-29.4,80.31,0
100,18.47,12.49,23.31,106.7,191.1,82.06,4664,162.7,183.1,4,0.4,7.7,3.91,12.49,1.866,2.998,-1,0.78,10.6,-28.9,79.97,0
100,18.57,12.49,23.31,106.7,191.1,82.05,4674,164.3,184.7,4,0.6,7.73,3.91,12.49,1.866,2.998,-1,1.56,10.9,-28.7,80.12,0
100,18.59,12.49,23.49,106.7,191.1,82.05,4692,165.6,185.3,4,0.6,7.94,3.91,12.49,1.867,2.998,-1,2.34,10.4,-28.5,80.15,0
96,18.66,12.49,23.49,106.7,191.1,82.05,4695,166.2,185.9,4,0.8,7.97,3.91,12.49,1.867,2.998,-1,2.34,10.3,-28.3,80.36,0
90,18.62,12.35,23.5,107.1,191.1,82.05,4720,167,185.8,4,1,8.21,3.91,12.35,1.859,2.984,-1,3.12,10.1,-28.4,80.66,0
86,18.59,12.35,23.45,107.1,191.1,82.05,4741,167.5,185.6,4,1,8.24,3.91,12.35,1.859,2.715,-1,3.12,9.4,-27.8,80.65,0
81,18.53,12.35,23.45,107.1,191.1,82.05,4750,168.1,185.8,4,1.2,8.44,3.91,12.35,1.847,2.307,-1,3.12,8.2,-26.8,80.62,0
69,18.54,12.35,23.65,107.1,191.1,82.05,4766,169,186.2,4,1.2,8.46,3.91,12.35,1.847,1.764,-1,3.12,6.7,-25.2,73.9,0
56,18.54,12.49,23.65,107.1,191.1,82.03,4780,169.9,186.7,4,1.4,8.68,3.91,12.35,1.846,1.574,-1,3.12,2.8,-24,70.72,0
46,18.42,12.49,23.56,107.1,191.1,55.83,4794,163.4,179,4,1.4,8.7,3.91,12.49,1.846,1.33,-1,3.12,-0.4,-23.6,62.24,0
38,16.48,12.35,23.56,107.1,191.1,31.33,4791,153.8,168.7,4,1.6,9.66,3.91,12.35,1.831,0.905,-1,2.34,-0.6,-23.1,43.74,0
26,13.52,12.05,19.03,107.1,191.1,23.1,4805,121.3,132.5,4,1.6,12.09,3.91,12.05,1.47,0.457,-1,1.56,-0.6,-22.7,0,0
14,4.65,11.61,19.03,107.1,191.1,12.99,4758,80.6,88.9,4,1.8,28.37,3.91,11.76,1.47,0.296,-1,-1.56,-0.6,-22,0,0
0,-4.58,12.05,6.27,107.2,191.3,7.41,4679,27.3,30.6,4,1.27,5.84,4.69,12.05,0.484,0.204,-1,-3.12,-0.7,-17.4,0,0
0,-7.65,13.08,3,107.2,191.3,6.48,4706,5.1,5.6,4,1.27,26.21,4.69,12.64,0.484,0.165,-1,-4.69,-0.7,-13.9,0,0
0,-9.61,13.96,3,107.2,191.3,5.53,4771,-1.8,-2,4,0,33.23,5.47,13.67,0.235,0.166,-1,-1.56,-0.7,-8.8,0,0
0,-10.35,14.11,2.1,107.2,191.3,5.22,4775,-2.1,-2.4,4,0,47.51,5.47,14.11,0.235,0.166,-1,-0.78,-0.6,-2.4,0,0
0,-10.58,14.26,2.1,107.2,191.3,6.49,4774,-1.9,-2.1,4,0,26.22,3.12,14.26,0.165,0.165,-1,-0.78,-0.6,-0.7,0,0
0,-10.6,14.26,2.06,107.2,191.3,6.71,4754,-1.8,-2,4,0,34.34,3.12,14.26,0.165,0.166,-1,-1.56,-0.8,-0.6,0,0
0,-10.48,14.55,2.06,107.2,191.3,7.36,4744,-1.5,-1.6,4,0,23.34,3.12,14.41,0.16,0.165,-1,-2.34,-0.6,-0.6,0,0
0,-10.45,14.7,2.17,107.1,191.3,7.51,4732,-1.3,-1.5,4,0,25.59,3.12,14.7,0.169,0.165,-1,-0.78,-0.6,-0.8,0,0
0,-10.41,14.85,2.17,107.1,191.3,7.59,4717,-1.4,-1.6,4,0,25.02,3.12,14.85,0.169,0.164,-1,-0.78,-0.7,-0.6,0,0
0,-10.42,14.7,2.14,106.7,191.3,7.67,4699,-1.5,-1.7,4,0,21.66,3.12,14.7,0.167,0.164,-1,-1.56,-0.6,-0.7,0,0
0,-10.43,14.7,2.14,106.7,191.3,7.76,4694,-1.7,-1.9,4,0,21.02,3.12,14.7,0.167,0.165,-1,-1.56,-0.7,-0.6,0,0
0,-10.45,14.7,2.08,106.7,191.3,7.86,4710,-1.9,-2.1,4,0,20.67,3.12,14.7,0.163,0.165,-1,-1.56,-0.6,-0.7,0,0
0,-10.43,14.7,2.08,106.7,191.3,8,4706,-2,-2.2,4,0,19.71,3.12,14.7,0.163,0.164,-1,-1.56,-0.6,-0.7,0,0
0,-10.45,14.7,2.08,106.5,191.3,8.01,4696,-2,-2.2,4,0,19.05,3.12,14.7,0.164,0.164,-1,-1.56,-0.6,-0.6,0,0
0,-10.45,14.55,2.06,106.5,191.3,8.03,4687,-2,-2.2,4,0,18.1,3.12,14.7,0.164,0.164,-1,0,-0.7,-0.6,0,0
0,-10.45,14.55,2.06,106.5,191.3,8.05,4676,-1.9,-2.1,4,0,17.29,3.12,14.55,0.162,0.164,-1,0,-0.6,-0.7,0,0
0,-10.43,14.55,2.05,106.5,191.5,8.11,4684,-1.9,-2.1,4,0,17.33,3.12,14.55,0.162,0.164,-1,0,-0.7,-0.6,0,0
0,-10.46,14.7,2.05,106.5,191.5,8.15,4671,-1.9,-2.1,4,0,17.28,3.12,14.55,0.162,0.16,-1,0,-0.7,-0.6,0,0
0,-10.45,14.7,2.04,106.3,191.5,8.05,4663,-1.6,-1.8,4,0,17.39,3.12,14.7,0.161,0.161,-1,0,-0.6,-0.7,0,0
0,-10.5,14.85,2.04,106.3,191.5,8.03,4660,-1.5,-1.7,4,0,17.01,3.12,14.85,0.161,0.161,-1,0,-0.7,-0.6,0,0
0,-10.47,14.85,2.03,106.3,191.5,8.09,4663,-1.6,-1.8,4,0,16.99,3.12,14.85,0.161,0.161,-1,0,-0.7,-0.7,0,0
0,-10.5,14.7,2.01,106.3,191.5,8.09,4660,-1.5,-1.8,4,0,17,3.12,14.7,0.161,0.16,-1,0,-0.7,-0.6,0,0
0,-10.49,14.7,2.01,106.3,191.7,8.11,4661,-1.4,-1.6,4,0,16.93,3.12,14.85,0.16,0.161,-1,0,-0.6,-0.7,0,0
0,-10.44,15.29,2.05,106.3,191.7,8.23,4645,-1.4,-1.5,4,0,16.63,3.12,15.29,0.16,0.16,-1,0,-0.7,-0.7,0,0
0,-10.44,16.17,2.05,106.3,191.7,8.13,4644,-1.3,-1.5,4,0,16.62,3.12,16.17,0.163,0.16,-1,0,-0.8,-0.6,0,0
0,-10.45,16.61,2.01,106.3,191.7,8.13,4631,-1.3,-1.5,4,0,16.56,3.12,16.61,0.163,0.16,-1,0,-0.6,-0.6,0,0
0,-10.44,17.49,2.01,106.3,191.7,8.13,4629,-1.2,-1.4,4,0,16.56,3.12,17.05,0.161,0.16,-1,0,-0.7,-0.7,0,0
0,-10.41,18.08,2.02,106.3,191.7,8.12,4634,-1.3,-1.5,4,0,16.46,3.12,18.38,0.161,0.16,-1,0,-0.7,-0.6,0,0
0,-10.42,19.11,2.02,106.3,191.7,8.11,4626,-1.2,-1.3,4,0,16.5,3.12,19.4,0.161,0.16,-1,0,-0.7,-0.6,0,0
0,-10.43,19.84,2.02,106.3,191.7,8.11,4604,-1.3,-1.4,4,0,16.41,3.12,19.99,0.161,0.159,-1,0,-0.7,-0.5,0,0
0,-10.4,21.02,2.02,106.3,191.7,8.11,4608,-1.1,-1.3,4,0,16.35,3.12,20.87,0.161,0.16,-1,0,-0.5,-0.6,0,0
0,-10.39,22.05,2.05,106.3,191.8,8.11,4607,-1.1,-1.3,4,0,16.3,3.12,21.76,0.164,0.159,-1,0,-0.6,-0.6,0,0
0,-10.4,23.37,2.03,106.3,191.8,8.18,4592,-1.1,-1.3,4,0,16.12,3.12,23.23,0.164,0.159,-1,0,-0.6,-0.5,0,0
0,-10.4,23.67,2.03,106.2,191.8,8.11,4576,-1,-1.2,4,0,16.12,3.12,23.67,0.163,0.159,-1,0,-0.6,-0.6,0,0
0,-10.4,24.55,2.02,106.2,191.8,7.98,4574,-0.9,-1.1,4,0,16.14,3.12,24.7,0.163,0.159,-1,0,-0.7,-0.5,0,0
0,-10.39,26.9,2.02,106.2,191.8,7.99,4573,-1,-1.1,4,0,15.99,3.12,26.9,0.163,0.158,-1,0,-0.6,-0.6,0,0
0,-10.4,29.99,2.02,106.2,191.8,7.99,4545,-0.9,-1,4,0,15.74,3.12,29.69,0.163,0.158,-1,0,-0.6,-0.7,0,0
0,-10.39,31.02,2.02,106.2,191.8,7.93,4543,-0.8,-0.9,4,0,15.83,3.12,30.58,0.164,0.158,-1,0,-0.6,-0.5,0,0
0,-10.38,32.78,2,106.2,191.8,7.81,4524,-0.8,-0.9,4,0,15.83,3.12,32.05,0.163,0.158,-1,0,-0.6,-0.6,0,0
0,-10.38,34.1,2,106.2,191.8,7.75,4480,-0.9,-1,4,0,15.61,3.12,34.4,0.163,0.157,-1,0,-0.7,-0.6,0,0
0,-10.42,35.57,1.98,106.2,191.8,7.6,4462,-0.7,-0.8,4,0,15.52,3.12,35.87,0.162,0.157,-1,0,-0.6,-0.5,0,0
0,-10.41,36.75,1.98,106.2,191.8,7.59,4452,-0.6,-0.7,4,0,15.61,3.12,36.75,0.162,0.157,-1,0,-0.6,-0.5,0,0
0,-10.38,37.49,1.98,106.2,191.8,7.56,4442,-0.5,-0.7,4,0,15.39,3.12,37.34,0.164,0.157,-1,0,-0.7,-0.5,0,0
