Accel. Pedal Pos. (%),Boost Pressure (psi),Actual AFR (AFR),Airflow Mass (lb/min),Charge Air Temp. (F),Coolant Temp. (F),ETC Angle Actual (degrees),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Gear Current (Gear),Ign Corr. Cyl1 (degrees),Ign Timing Cyl1 (degrees),LTFT (%),Lambda (Raw) (AFR),Load Actual (%),Load Des. TQ Ctl (%),Oct Adj Ratio Lrn (Mult),STFT (%),VCT-E Angle Act. (degrees),VCT-I Angle Act. (degrees),WGDC Actual (%),AP Info:[AP3-FOR-001 v1.7.3.0-17779][USDM 2016 Focus ST (50S)][Reflash: Stage3 93 OCT or 98 RON v504.ptm]
28,-1.4,14.41,3.89,104.4,191.3,13.73,2264,43.4,100.8,1,0,24.32,5.47,14.41,0.653,0.664,-1,-0.78,-0.1,-8.5,67.21,0
28,-1.4,14.55,3.89,104.4,191.3,13.77,2303,44.2,100.8,1,0,24.46,5.47,14.55,0.659,0.667,-1,-0.78,-0.1,-9.6,66.35,0
28,-1.47,14.55,4.03,104.4,191.3,13.77,2354,44.9,100.3,1,0,24.71,5.47,14.55,0.659,0.67,-1,-0.78,-0.1,-10.7,66.05,0
28,-1.5,14.7,4.03,104.4,191.3,13.77,2398,45.9,100.6,1,0,24.85,5.47,14.7,0.66,0.672,-1,-0.78,-0.1,-11.7,65.64,0
28,-1.54,14.7,4.19,104.4,191.3,13.84,2452,47.3,101.3,1,0,25.06,5.47,14.7,0.663,0.674,-1,0,-0.2,-12.9,65.37,0
28,-1.55,14.85,4.19,104.4,191.3,13.9,2496,47.8,100.5,1,0,25.23,5.47,14.85,0.663,0.676,-1,0,-0.1,-14.3,62.31,0
28,-1.59,14.85,4.39,104.4,191.3,13.9,2554,48.8,100.4,1,0,25.39,5.47,14.85,0.666,0.678,-1,-0.78,-0.1,-15.5,62.92,0
28,-1.58,14.85,4.39,104.4,191.3,14.09,2614,50.3,101,1,0,25.52,5.47,14.85,0.666,0.681,-1,-0.78,-0.2,-16.8,61.91,0
28,-1.57,14.85,4.6,104.4,191.3,14.18,2667,51.8,101.9,1,0,25.7,5.47,14.85,0.674,0.662,-1,0,-0.1,-17.5,58.74,0
26,-1.47,14.85,4.73,104.4,191.3,14.35,2709,51.8,100.5,1,0,25.81,5.47,14.85,0.674,0.628,-1,0,-0.1,-17.9,57.1,0
25,-1.7,14.7,4.73,104.4,191.5,13.61,2759,50.9,96.8,1,0,26.1,5.47,14.7,0.668,0.589,-1,0,-0.2,-18.4,53.24,0
22,-2.31,14.7,4.37,104.4,191.5,12.3,2799,46.2,86.7,1,0,26.1,5.47,14.7,0.668,0.541,-1,0,-0.2,-18.8,51.86,0
20,-3.17,14.55,4.37,104.4,191.5,11.17,2829,41.6,77.1,1,0,27.26,5.47,14.7,0.593,0.514,-1,0,-0.2,-18.8,56.35,0
19,-3.86,14.55,3.98,104.4,191.5,10.74,2863,38.9,71.4,1,0,28,5.47,14.55,0.593,0.462,-1,0,-0.3,-19,57.27,0
18,-4.33,14.55,3.98,104.4,191.5,10.23,2905,35.9,64.8,1,0,28.73,5.47,14.55,0.526,0.439,-1,0,-0.1,-17.5,0,0
18,-5.01,14.55,3.55,104.4,191.5,9.89,2934,32.7,58.4,1,0,29.52,5.47,14.55,0.461,0.353,-1,0,-0.4,-12.7,0,0
14,-5.41,14.41,3.55,104.4,191.5,10.2,2964,30.1,53.3,1,0,30.01,5.47,14.41,0.461,0.293,-1,-0.78,-0.2,-8.1,0,0
0,-6.12,14.41,3.1,104.4,191.5,8.8,2958,21.2,37.6,1,0,5.94,5.47,14.41,0.393,0.238,-1,-1.56,-0.2,-4.6,0,0
0,-7,14.41,2.13,104.4,191.5,7.03,2928,10.5,19,1,0,13.21,5.47,14.41,0.393,0.132,-1,-2.34,-0.2,-3,0,0
0,-8.64,14.41,2.13,104.5,191.5,2.42,2930,3.1,5.5,1,0,29.97,3.12,14.41,0.265,0.213,-1,-3.12,-0.2,0,0,0
0,-10.12,14.41,1.41,104.5,191.5,1.93,2949,2.8,5,15,0,15.96,3.12,14.41,0.265,0.142,-1,-3.12,-0.3,-0.1,0,0
0,-10.11,14.41,1.41,104.4,191.5,4.99,2944,2.3,4.1,15,0,10.35,2.34,14.41,0.178,0.145,-1,-3.91,-0.2,-0.2,0,0
0,-10.5,14.55,1.18,104.4,191.5,3.89,2900,1.6,3,15,0,10.73,2.34,14.55,0.178,0.146,-1,-3.91,-0.2,-0.1,0,0
0,-10.77,14.7,1.18,104.4,191.5,4.18,2851,1.4,2.6,15,0,8.86,2.34,14.7,0.149,0.147,-1,-3.91,-0.3,-0.2,0,0
0,-10.63,15.29,1.21,104.4,191.5,4.45,2815,1.7,3.2,15,0,7.61,2.34,14.99,0.155,0.149,-1,-1.56,-0.2,-0.2,0,0
0,-10.65,15.73,1.21,104.4,191.5,4.46,2786,1.5,2.8,15,0,7.65,2.34,15.73,0.155,0.146,-1,2.34,-0.2,-0.1,0,0
0,-10.68,15.88,1.11,104.4,191.5,4.46,2751,1.2,2.3,15,0,8.01,2.34,15.88,0.145,0.145,-1,3.91,-0.2,-0.2,0,0
0,-10.69,15.43,1.11,104.4,191.5,4.4,2726,1.2,2.4,15,0,14.29,2.34,15.29,0.145,0.145,-1,3.12,-0.1,-0.1,0,0
0,-10.75,14.99,1.06,104.4,191.5,4.38,2689,1.3,2.6,15,0,8.56,2.34,14.99,0.143,0.142,-1,0,-0.2,-0.1,0,0
0,-10.69,14.55,1.1,104.4,191.5,4.33,2639,1.8,3.5,15,0,8.56,2.34,14.7,0.143,0.14,-1,0,-0.2,-0.3,0,0
0,-10.61,15.14,1.1,104.4,191.5,4.06,2577,1.9,3.8,15,0,8.29,2.34,14.7,0.15,0.139,-1,0,-0.1,-0.1,0,0
0,-10.57,21.32,1.08,104.4,191.5,4.01,2530,2,4.1,15,0,7.63,2.34,18.08,0.15,0.137,-1,0,-0.2,-0.1,0,0
0,-10.52,25.87,1.08,104.4,191.5,3.92,2471,2,4.1,15,0,7.12,2.34,27.05,0.153,0.134,-1,0,-0.1,-0.1,0,0
0,-10.54,31.61,1.04,104.4,191.5,3.84,2422,1.7,3.6,15,0,6.83,2.34,32.49,0.153,0.131,-1,0,-0.1,0,0,0
0,-10.72,35.28,1.04,104.4,191.5,3.51,2358,1,2.1,15,0,7.16,2.34,35.28,0.152,0.128,-1,0,-0.2,-0.1,0,0
0,-10.89,37.19,0.88,104.2,191.5,3.38,2308,0.5,1,15,0,7.77,2.34,37.49,0.133,0.123,-1,0,-0.2,-0.2,0,0
0,-10.97,38.96,0.88,104.2,191.5,3.3,2257,0,0.1,15,0,7.99,2.34,38.51,0.133,0.12,-1,0,-0.1,-0.1,0,0
0,-11.04,39.4,0.8,104.4,191.5,3.3,2204,-0.1,-0.1,15,0,7.99,2.34,39.54,0.127,0.12,-1,0,-0.2,0,0,0
0,-11.07,39.84,0.75,104.4,191.5,3.29,2150,-0.1,-0.1,15,0,7.75,2.34,39.84,0.127,0.121,-1,0,-0.2,-0.1,0,0
0,-11.09,40.72,0.75,104.4,191.5,3.29,2095,0,-0.1,15,0,7.19,2.34,40.57,0.125,0.12,-1,0,-0.1,-0.1,0,0
0,-11.08,40.87,0.73,104.4,191.5,3.27,2039,0,0.1,15,0,6.71,2.34,40.87,0.125,0.119,-1,0,-0.1,0,0,0
5,-11.09,40.87,0.73,104.2,191.5,3.17,1997,0,0.1,15,0,36.76,2.34,41.16,0.126,0.276,-1,0,-0.2,-0.1,0,0
10,-11.1,41.01,0.91,104.2,191.5,3.87,1995,3.2,8.5,15,0,45.44,2.34,41.31,0.126,0.352,-1,0,-0.2,-0.2,0,0
14,-9.61,40.87,0.91,104.4,191.5,9.09,1986,8.7,22.9,15,0,45.44,2.34,41.45,0.166,0.432,-1,0,0,-0.1,0,0
17,-8.15,40.57,1.75,104.2,191.5,10.3,1926,14.8,40.3,15,0,33.16,2.34,40.72,0.325,0.472,-1,0,-0.1,0,49.99,0
19,-6.4,38.81,1.75,104.2,191.5,10.9,1903,20.2,55.8,15,0,29.94,2.34,38.51,0.325,0.546,-1,0,0,-0.1,60.46,0
